"","TownName","ratio","year"
"459","egremont",0,2011
"460","falmouth",0,2011
"461","franklin",0,2011
"462","foxborough",0,2011
"463",NA,0,2011
"464","framingham",0,2011
"465",NA,0,2011
"466",NA,0,2011
"467",NA,0,2011
"468",NA,0,2011
"469","andover",0,2011
"470","arlington",0,2011
"471","ashland",0,2011
"472",NA,0,2011
"473",NA,0,2011
"474","belmont",0,2011
"475",NA,0,2011
"476",NA,0,2011
"477",NA,0,2011
"478","danvers",0,2011
"479",NA,0,2011
"480","kingston",0,2011
"481","lanesborough",0,2011
"482",NA,0,2011
"483",NA,0,2011
"484",NA,0,2011
"485",NA,0,2011
"486","marlborough",0,2011
"487","marshfield",0,2011
"488","maynard",0,2011
"489","melrose",0,2011
"490",NA,0,2011
"491",NA,0,2011
"492","montague",0,2011
"493",NA,0,2011
"494",NA,0,2011
"495","buckland",0,2011
"496","cambridge",0,2011
"497","canton",0,2011
"498",NA,0,2011
"499","cohasset",0,2011
"500","concord",0,2011
"501","dover",0,2011
"502",NA,0,2011
"503",NA,0,2011
"504",NA,0,2011
"505","braintree",0,2011
"506","brewster",0,2011
"507",NA,0,2011
"508",NA,0,2011
"509",NA,0,2011
"510","chelmsford",0,2011
"511","chelsea",0,2011
"512",NA,0,2011
"513",NA,0,2011
"514",NA,0,2011
"515",NA,0,2011
"516","hatfield",0,2011
"517","carver",0,2011
"518","charlemont",0,2011
"519",NA,0,2011
"520",NA,0,2011
"521",NA,0,2011
"522",NA,0,2011
"523","holbrook",0,2011
"524","hudson",0,2011
"525","holyoke",0,2011
"526","hopedale",0,2011
"527",NA,0,2011
"528","milton",0,2011
"529","medway",0,2011
"530","lenox",0,2011
"531",NA,0,2011
"532","lexington",0,2011
"533",NA,0,2011
"534","lincoln",0,2011
"535","methuen",0,2011
"536",NA,0,2011
"537",NA,0,2011
"538",NA,0,2011
"539",NA,0,2011
"540","natick",0,2011
"541",NA,0,2011
"542",NA,0,2011
"543",NA,0,2011
"544",NA,0,2011
"545","gill",0,2011
"546",NA,0,2011
"547","greenfield",0,2011
"548",NA,0,2011
"549",NA,0,2011
"550",NA,0,2011
"551",NA,0,2011
"552",NA,0,2011
"553",NA,0,2011
"554","lee",0,2011
"555","hanover",0,2011
"556",NA,0,2011
"557","medfield",0,2011
"558","medford",0,2011
"559","reading",0,2011
"560",NA,0,2011
"561","needham",0,2011
"562",NA,0,2011
"563","lowell",0,2011
"564","halifax",0,2011
"565","hamilton",0,2011
"566","marblehead",0,2011
"567",NA,0,2011
"568",NA,0,2011
"569",NA,0,2011
"570",NA,0,2011
"571","hull",0,2011
"572",NA,0,2011
"573",NA,0,2011
"574","lawrence",0,2011
"575",NA,0,2011
"576",NA,0,2011
"577",NA,0,2011
"578","malden",0,2011
"579","tewksbury",0,2011
"580",NA,0,2011
"581",NA,0,2011
"582",NA,0,2011
"583","somerville",0,2011
"584","provincetown",0,2011
"585","randolph",0,2011
"586",NA,0,2011
"587","norwood",0,2011
"588",NA,0,2011
"589",NA,0,2011
"590","northampton",0,2011
"591",NA,0,2011
"592",NA,0,2011
"593",NA,0,2011
"594","norwell",0,2011
"595",NA,0,2011
"596","north adams",0,2011
"597","north attleboro",0,2011
"598",NA,0,2011
"599",NA,0,2011
"600",NA,0,2011
"601",NA,0,2011
"602",NA,0,2011
"603",NA,0,2011
"604","pittsfield",0,2011
"605",NA,0,2011
"606",NA,0,2011
"607",NA,0,2011
"608",NA,0,2011
"609",NA,0,2011
"610",NA,0,2011
"611",NA,0,2011
"612",NA,0,2011
"613",NA,0,2011
"614",NA,0,2011
"615",NA,0,2011
"616","stockbridge",0,2011
"617","stoneham",0,2011
"618",NA,0,2011
"619","shelburne",0,2011
"620","sherborn",0,2011
"621",NA,0,2011
"622",NA,0,2011
"623",NA,0,2011
"624",NA,0,2011
"625","newton",0,2011
"626","norfolk",0,2011
"627","north andover",0,2011
"628",NA,0,2011
"629",NA,0,2011
"630","north reading",0,2011
"631",NA,0,2011
"632","stoughton",0,2011
"633",NA,0,2011
"634",NA,0,2011
"635","sunderland",0,2011
"636","swampscott",0,2011
"637",NA,0,2011
"638",NA,0,2011
"639",NA,0,2011
"640",NA,0,2011
"641","middleton",0,2011
"642","milford",0,2011
"643","millis",0,2011
"644",NA,0,2011
"645","peabody",0,2011
"646",NA,0,2011
"647",NA,0,2011
"648","sharon",0,2011
"649","southwick",0,2011
"650",NA,0,2011
"651",NA,0,2011
"652",NA,0,2011
"653","whately",0,2011
"654","williamstown",0,2011
"655","rockport",0,2011
"656",NA,0,2011
"657",NA,0,2011
"658","worcester",0,2011
"659",NA,0,2011
"660",NA,0,2011
"661","tyngsborough",0,2011
"662",NA,0,2011
"663","wakefield",0,2011
"664",NA,0,2011
"665","westfield",0,2011
"666",NA,0,2011
"667",NA,0,2011
"668",NA,0,2011
"669","saugus",0,2011
"670",NA,0,2011
"671","weston",0,2011
"672","westwood",0,2011
"673",NA,0,2011
"674",NA,0,2011
"675",NA,0,2011
"676",NA,0,2011
"677","south hadley",0,2011
"678","southampton",0,2011
"679","southborough",0,2011
"680",NA,0,2011
"681",NA,0,2011
"682",NA,0,2011
"683","walpole",0,2011
"684","waltham",0,2011
"685",NA,0,2011
"686","watertown",0,2011
"687","wayland",0,2011
"688",NA,0,2011
"689","wellesley",0,2011
"690",NA,0,2011
"691","topsfield",0,2011
"692",NA,0,2011
"693",NA,0,2011
"694",NA,0,2011
"695",NA,0,2011
"696","salem",0,2011
"697",NA,0,2011
"698",NA,0,2011
"699","wilmington",0,2011
"700",NA,0,2011
"701",NA,0,2011
"702",NA,0,2011
"703",NA,0,2012
"704","plainville",0,2012
"705",NA,0,2012
"706",NA,0,2012
"707","scituate",0,2012
"708",NA,0,2012
"709",NA,0,2012
"710",NA,0,2012
"711",NA,0,2012
"712","northborough",0,2012
"713",NA,0,2012
"714",NA,0,2012
"715","wareham",0,2012
"716",NA,0,2012
"717",NA,0,2012
"718",NA,0,2012
"719",NA,0,2012
"720","westford",0,2012
"721","whitman",0,2012
"722",NA,0,2012
"723","yarmouth",0,2012
"724",NA,0,2012
"725","winchester",0,2012
"726",NA,0,2012
"727",NA,0,2012
"728",NA,0,2012
"729",NA,0,2012
"730","adams",0,2012
"731",NA,0,2012
"732","amherst",0,2012
"733",NA,0,2012
"734",NA,0,2012
"735",NA,0,2012
"736",NA,0,2012
"737",NA,0,2012
"738","belchertown",0,2012
"739",NA,0,2012
"740",NA,0,2012
"741",NA,0,2012
"742",NA,0,2012
"743",NA,0,2012
"744",NA,0,2012
"745","brockton",0,2012
"746",NA,0,2012
"747",NA,0,2012
"748",NA,0,2012
"749",NA,0,2012
"750",NA,0,2012
"751",NA,0,2012
"752",NA,0,2012
"753",NA,0,2012
"754",NA,0,2012
"755","acton",0,2012
"756","attleboro",0,2012
"757",NA,0,2012
"758","blackstone",0,2012
"759","boston",0,2012
"760",NA,0,2012
"761",NA,0,2012
"762",NA,0,2012
"763","duxbury",0,2012
"764","eastham",0,2012
"765","essex",0,2012
"766",NA,0,2012
"767",NA,0,2012
"768",NA,0,2012
"769",NA,0,2012
"770","great barrington",0,2012
"771",NA,0,2012
"772",NA,0,2012
"773",NA,0,2012
"774","leverett",0,2012
"775","mansfield",0,2012
"776","mashpee",0,2012
"777",NA,0,2012
"778",NA,0,2012
"779",NA,0,2012
"780","grafton",0,2012
"781",NA,0,2012
"782",NA,0,2012
"783","gloucester",0,2012
"784",NA,0,2012
"785",NA,0,2012
"786","marion",0,2012
"787","mendon",0,2012
"788",NA,0,2012
"789","townsend",0,2012
"790",NA,0,2012
"791",NA,0,2012
"792",NA,0,2012
"793","orleans",0,2012
"794","dedham",0,2012
"795",NA,0,2012
"796",NA,0,2012
"797","deerfield",0,2012
"798",NA,0,2012
"799",NA,0,2012
"800","brookline",0,2012
"801","hadley",0,2012
"802","bridgewater",0,2012
"803","brimfield",0,2012
"804",NA,0,2012
"805",NA,0,2012
"806",NA,0,2012
"807",NA,0,2012
"808","easton",0,2012
"809",NA,0,2012
"810","egremont",0,2012
"811","falmouth",0,2012
"812","franklin",0,2012
"813","foxborough",0,2012
"814",NA,0,2012
"815","framingham",0,2012
"816",NA,0,2012
"817",NA,0,2012
"818",NA,0,2012
"819",NA,0,2012
"820","andover",0,2012
"821","arlington",0,2012
"822","ashland",0,2012
"823",NA,0,2012
"824",NA,0,2012
"825","belmont",0,2012
"826",NA,0,2012
"827",NA,0,2012
"828",NA,0,2012
"829","danvers",0,2012
"830",NA,0,2012
"831","kingston",0,2012
"832","lanesborough",0,2012
"833",NA,0,2012
"834",NA,0,2012
"835",NA,0,2012
"836",NA,0,2012
"837","marlborough",0,2012
"838","marshfield",0,2012
"839","maynard",0,2012
"840","melrose",0,2012
"841",NA,0,2012
"842",NA,0,2012
"843","montague",0,2012
"844",NA,0,2012
"845",NA,0,2012
"846","buckland",0,2012
"847","cambridge",0,2012
"848","canton",0,2012
"849",NA,0,2012
"850","cohasset",0,2012
"851","concord",0,2012
"852","dover",0,2012
"853",NA,0,2012
