"","X","Year","Name.x","Event","Type","County","Form.of.government","Population","FormYear","T21Date","FIPS","State","No_PrematureDeaths","Years.of.Potential.Life.Lost.Rate","Percent_FairOrPoor","Physically.Unhealthy.Days","Mentally.Unhealthy.Days","Precent.LBW","PercentSmokers","PercentObese","Food.Environment.Index","Percent.Physically.Inactive","Percent.With.AccessToExercise","PercentExcessive.Drinking","NumberChlamydia.Cases","Chlamydia.Rate","Teen.Births","Teen.Birth.Rate","PercentUninsured","NumberMedicare.Enrollees","PercentDiabetics","PercentReceiving.HbA1c","PercentUnemployed","PercentChildren.in.Poverty","PercentSingle.Parent.Households","NumberViolent.Crimes","Violent.Crime.Rate","T21year","MAYOR","LENGTH.OF.TERM","NEXT.ELECTION","mayor_ind","year_dummy","year_dummy-1","county_state_abb","Name.y","state_abb","pop16","pop16_labor_civil_empl","pop16_labor_civil_unempl","pop16_labor_civil","median_household_income","mean_household_income","pop_total_2015","male_2015","female_2015","white_male_2015","white_female_2015","black_male_2015","black_female_2015","hispanic_male_2015","hispanic_female_2015","educ_no_high_school_2000","votes_total_2012","votes_r_2012","votes_d_2012","prct_d_2012","prct_r_2012","votes_total_2016","prct_d_2016","prct_r_2016","votes_d_2016","votes_r_2016","tax"
"546",959,2011,"Conway",0,"Town","Franklin","Open town meeting","1897.0",1775,NA,25011,"Massachusetts",708,5297.1,11.7,3.8,3.5,6.83,17.9,23.5,NA,NA,NA,17.9,NA,NA,351,21.3,9.3,14759,241,87.9668,7.9,15.8,33,774,359.7,NA,NA,NA,NA,0,2011,2010,"Franklin, MA","franklin","MA",59408,37423,3055,40478,54072,68263,70601,34474,36127,32471,34254,624,382,1452,1276,12,37758,9344,27072,71.7,24.75,38821,63.0535019705829,26.6968908580407,24478,10364,2.51
"547",960,2012,"Conway",0,"Town","Franklin","Open town meeting","1897.0",1775,NA,25011,"Massachusetts",715,5245.39,11.9,3.9,3.5,7,18.5,24.6,NA,19.4,NA,19.3,98,136.6,342,21.9,4.4,7679,720,87.916666667,8,16.2,32.153351056,749,364.48930134,NA,NA,NA,NA,0,2012,2011,"Franklin, MA","franklin","MA",59408,37423,3055,40478,54072,68263,70601,34474,36127,32471,34254,624,382,1452,1276,12,37758,9344,27072,71.7,24.75,38821,63.0535019705829,26.6968908580407,24478,10364,2.51
"548",961,2013,"Conway",0,"Town","Franklin","Open town meeting","1897.0",1775,NA,25011,"Massachusetts",694,5298.65,11.1,3.6,3.3,7.1,19,24.6,NA,19.4,NA,18.7,131,183.5,325,20.256793817,4.7,7736,731,89.876880985,6.7,16.6,32.858472332,246,357.66243433,NA,NA,NA,NA,0,2013,2012,"Franklin, MA","franklin","MA",59408,37423,3055,40478,54072,68263,70601,34474,36127,32471,34254,624,382,1452,1276,12,37758,9344,27072,71.7,24.75,38821,63.0535019705829,26.6968908580407,24478,10364,2.51
"549",962,2014,"Conway",0,"Town","Franklin","Open town meeting","1897.0",1775,NA,25011,"Massachusetts",694,5298.65,10.3,4,3.3,7,18.7,24.9,8.7478858778,19.1,60.170655159,18.2,110,153.6,311,19.889997442,5.104203167,8056,744,89.91935484,6.2678729267,16.6,31.830103453,247.66666667,371.87187187,NA,NA,NA,NA,0,2014,2013,"Franklin, MA","franklin","MA",59408,37423,3055,40478,54072,68263,70601,34474,36127,32471,34254,624,382,1452,1276,12,37758,9344,27072,71.7,24.75,38821,63.0535019705829,26.6968908580407,24478,10364,3.51
"550",963,2015,"Conway",0,"Town","Franklin","Open town meeting","1897.0",1775,NA,25011,"Massachusetts",696,5159.43,10.3,4,3.3,6.8550153307,18.7,22.1,8.4,18.1,79.980944908,18.2,110,153.8,318,21.013678715,4.1359735081,8510,769,90.117035111,6.5816633136,17.7,33.042126305,245,378.5518204,NA,NA,NA,NA,0,2015,2014,"Franklin, MA","franklin","MA",59408,37423,3055,40478,54072,68263,70601,34474,36127,32471,34254,624,382,1452,1276,12,37758,9344,27072,71.7,24.75,38821,63.0535019705829,26.6968908580407,24478,10364,3.51
"551",964,2016,"Conway",0,"Town","Franklin","Open town meeting","1897.0",1775,NA,25011,"Massachusetts",762,5500.2,12.4,3.5,4,6.8456375839,15.4,21.6,8.1,17.8,72.234209494,19.7,184,257.19876992,300,20.498804236,4.2319614996,8891,811,90.012330456,5.2606299611,16.7,32.917894101,245,378.5518204,NA,NA,NA,NA,0,2016,2015,"Franklin, MA","franklin","MA",59408,37423,3055,40478,54072,68263,70601,34474,36127,32471,34254,624,382,1452,1276,12,37758,9344,27072,71.7,24.75,38821,63.0535019705829,26.6968908580407,24478,10364,3.51
"552",965,2017,"Conway",0,"Town","Franklin","Open town meeting","1897.0",1775,NA,25011,"Massachusetts",806,6107.8,13.300617402,3.674788213,4.0251392425,6.6422354558,14.973397185,21,8.2,17.1,72.234209494,18.753851702,131,183.9,273,19.347980156,3.5833507198,9290,871,89.207807118,4.5169161943,16.9,31.497458019,225,371.64078028,NA,NA,NA,NA,0,2017,2016,"Franklin, MA","franklin","MA",59408,37423,3055,40478,54072,68263,70601,34474,36127,32471,34254,624,382,1452,1276,12,37758,9344,27072,71.7,24.75,38821,63.0535019705829,26.6968908580407,24478,10364,3.51
"554",973,2011,"Cummington",0,"Town","Hampshire","Open town meeting","872.0",1779,NA,25015,"Massachusetts",1236,4907.1,10.4,3.5,3.1,6.35,14.7,21.3,NA,NA,NA,18.4,NA,NA,438,6.9,9.7,32125,513,88.694,6.6,10.1,25.1,1177,254.8,NA,NA,NA,NA,0,2011,2010,"Hampshire, MA","hampshire","MA",138126,83351,6594,89945,61460,79083,161292,75193,86099,66790,76158,2359,2662,4087,4684,10.6,81621,21480,57359,70.27,26.32,84193,65.7619992160868,25.8810114855154,55367,21790,2.51
"555",974,2012,"Cummington",0,"Town","Hampshire","Open town meeting","872.0",1779,NA,25015,"Massachusetts",1260,5078.42,9.7,3.3,2.8,6.3,13.5,22.3,NA,17.1,NA,17.7,274,176.8,433,6.9,3.9,15964,1366,87.8477306,6.9,11.8,27.047547453,1167,253.83139679,NA,NA,NA,NA,0,2012,2011,"Hampshire, MA","hampshire","MA",138126,83351,6594,89945,61460,79083,161292,75193,86099,66790,76158,2359,2662,4087,4684,10.6,81621,21480,57359,70.27,26.32,84193,65.7619992160868,25.8810114855154,55367,21790,2.51
"556",975,2013,"Cummington",0,"Town","Hampshire","Open town meeting","872.0",1779,NA,25015,"Massachusetts",1256,4923.87,9.7,3.2,2.7,6.7,12.6,22.3,NA,17.1,NA,17.9,320,202.4,392,5.8021639703,4.8,15955,1344,90.178571429,5.9,12.3,28.958673916,388,251.01990291,NA,NA,NA,NA,0,2013,2012,"Hampshire, MA","hampshire","MA",138126,83351,6594,89945,61460,79083,161292,75193,86099,66790,76158,2359,2662,4087,4684,10.6,81621,21480,57359,70.27,26.32,84193,65.7619992160868,25.8810114855154,55367,21790,2.51
"557",976,2014,"Cummington",0,"Town","Hampshire","Open town meeting","872.0",1779,NA,25015,"Massachusetts",1256,4923.87,10,3.3,2.9,6.5,12.1,22.4,8.671357361,17.1,71.005819838,19.7,395,250.3,369,5.4491486628,4.7171977447,16592,1386,90.18759019,5.6084875265,12.7,28.884670515,382,244.06450459,NA,NA,NA,NA,0,2014,2013,"Hampshire, MA","hampshire","MA",138126,83351,6594,89945,61460,79083,161292,75193,86099,66790,76158,2359,2662,4087,4684,10.6,81621,21480,57359,70.27,26.32,84193,65.7619992160868,25.8810114855154,55367,21790,3.51
"558",977,2015,"Cummington",0,"Town","Hampshire","Open town meeting","872.0",1779,NA,25015,"Massachusetts",1210,4652.16,10,3.3,2.9,6.154410865,12.1,21.8,8.3,15.2,85.928643725,19.7,366,229,339,4.9760007046,4.2848697232,17265,1395,89.103942652,6.0659425559,12.1,30.256430426,385,245.34482099,NA,NA,NA,NA,0,2015,2014,"Hampshire, MA","hampshire","MA",138126,83351,6594,89945,61460,79083,161292,75193,86099,66790,76158,2359,2662,4087,4684,10.6,81621,21480,57359,70.27,26.32,84193,65.7619992160868,25.8810114855154,55367,21790,3.51
"559",978,2016,"Cummington",0,"Town","Hampshire","Open town meeting","872.0",1779,NA,25015,"Massachusetts",1228,4651.6,11.6,3.3,3.9,6.1287916459,14.5,21.3,8.1,16.1,85.651568826,23.5,355,222.15964204,305,4.4636976979,4.133329881,17746,1457,89.087165408,5.0320442245,12.5,30.994359642,385,245.34482099,NA,NA,NA,NA,0,2016,2015,"Hampshire, MA","hampshire","MA",138126,83351,6594,89945,61460,79083,161292,75193,86099,66790,76158,2359,2662,4087,4684,10.6,81621,21480,57359,70.27,26.32,84193,65.7619992160868,25.8810114855154,55367,21790,3.51
"560",979,2017,"Cummington",0,"Town","Hampshire","Open town meeting","872.0",1779,NA,25015,"Massachusetts",1344,4859.2,11.818070886,3.3806639708,4.0656681954,6.119326874,15.258144091,18.9,8.1,15.3,85.651568826,20.346192088,270,169.2,276,4.0058636555,3.8489137107,18899,1538,91.287386216,4.4266174179,11.6,30.952669168,390.66666667,248.897799,NA,NA,NA,NA,0,2017,2016,"Hampshire, MA","hampshire","MA",138126,83351,6594,89945,61460,79083,161292,75193,86099,66790,76158,2359,2662,4087,4684,10.6,81621,21480,57359,70.27,26.32,84193,65.7619992160868,25.8810114855154,55367,21790,3.51
"562",987,2011,"Dalton",0,"Town","Berkshire","Open town meeting","6756.0",1784,NA,25003,"Massachusetts",1458,5881.7,13.4,4,3.6,7.86,19.7,23.2,NA,NA,NA,18.9,NA,NA,837,25.2,8.4,44684,736,92.1196,8.1,15.2,35.8,1590,408.1,NA,NA,NA,NA,0,2011,2010,"Berkshire, MA","berkshire","MA",109102,62178,6476,68654,49737,68773,127828,61824,66004,57056,61432,2237,1885,2812,2641,14.9,64486,14252,48843,75.74,22.1,65617,66.6199308106131,25.6625569593246,43714,16839,2.51
"563",988,2012,"Dalton",0,"Town","Berkshire","Open town meeting","6756.0",1784,NA,25003,"Massachusetts",1484,6122.18,13.2,3.9,3.5,8,19.4,24,NA,22.5,NA,19.5,311,240.3,849,26.6,4.7,22591,2016,90.972222222,8.2,18.7,34.903381643,1556,415.97938282,NA,NA,NA,NA,0,2012,2011,"Berkshire, MA","berkshire","MA",109102,62178,6476,68654,49737,68773,127828,61824,66004,57056,61432,2237,1885,2812,2641,14.9,64486,14252,48843,75.74,22.1,65617,66.6199308106131,25.6625569593246,43714,16839,2.51
"564",989,2013,"Dalton",0,"Town","Berkshire","Open town meeting","6756.0",1784,NA,25003,"Massachusetts",1406,5915.12,12.9,3.8,3.4,7.9,17.5,24,NA,22.5,NA,20.8,370,282,817,24.426704936,5.1,22812,2034,91.445427729,7.3,20.2,34.510376391,536,425.87994897,NA,NA,NA,NA,0,2013,2012,"Berkshire, MA","berkshire","MA",109102,62178,6476,68654,49737,68773,127828,61824,66004,57056,61432,2237,1885,2812,2641,14.9,64486,14252,48843,75.74,22.1,65617,66.6199308106131,25.6625569593246,43714,16839,2.51
"565",990,2014,"Dalton",0,"Town","Berkshire","Open town meeting","6756.0",1784,NA,25003,"Massachusetts",1406,5915.12,12.1,3.7,3.6,8.1,17,22,8.5769018924,20.7,74.91826641,21.3,359,275.2,781,23.546792089,4.7540110118,22821,2046,91.54447703,6.7247420809,21.1,35.096581266,543,429.3927085,NA,NA,NA,NA,0,2014,2013,"Berkshire, MA","berkshire","MA",109102,62178,6476,68654,49737,68773,127828,61824,66004,57056,61432,2237,1885,2812,2641,14.9,64486,14252,48843,75.74,22.1,65617,66.6199308106131,25.6625569593246,43714,16839,3.51
"566",991,2015,"Dalton",0,"Town","Berkshire","Open town meeting","6756.0",1784,NA,25003,"Massachusetts",1390,5772.84,12.1,3.7,3.6,8.0317422147,17,22.5,8.2,18.8,88.709714294,21.3,337,259.2,714,21.780909673,4.4013080916,23505,2127,91.396332863,7.0745401196,18.8,34.996486297,506.33333333,402.71267683,NA,NA,NA,NA,0,2015,2014,"Berkshire, MA","berkshire","MA",109102,62178,6476,68654,49737,68773,127828,61824,66004,57056,61432,2237,1885,2812,2641,14.9,64486,14252,48843,75.74,22.1,65617,66.6199308106131,25.6625569593246,43714,16839,3.51
"567",992,2016,"Dalton",0,"Town","Berkshire","Open town meeting","6756.0",1784,NA,25003,"Massachusetts",1476,6177.6,12.7,3.4,4.1,7.8986220472,15.1,22.9,7.9,19.8,78.98094026,18.4,416,319.96062023,672,20.833333333,4.2055697021,23830,2178,91.414141414,6.4885958013,20.4,35.501733029,506.33333333,402.71267683,NA,NA,NA,NA,0,2016,2015,"Berkshire, MA","berkshire","MA",109102,62178,6476,68654,49737,68773,127828,61824,66004,57056,61432,2237,1885,2812,2641,14.9,64486,14252,48843,75.74,22.1,65617,66.6199308106131,25.6625569593246,43714,16839,3.51
"568",993,2017,"Dalton",0,"Town","Berkshire","Open town meeting","6756.0",1784,NA,25003,"Massachusetts",1542,6440.9,12.64714634,3.358344603,4.1014791085,7.7154685736,14.481056801,23.7,7.9,19.3,78.98094026,19.061757971,100,77.2,608,19.216182048,4.0273961367,24250,2255,91.130820399,5.5755395683,19.6,37.220713222,383.33333333,317.17925593,NA,NA,NA,NA,0,2017,2016,"Berkshire, MA","berkshire","MA",109102,62178,6476,68654,49737,68773,127828,61824,66004,57056,61432,2237,1885,2812,2641,14.9,64486,14252,48843,75.74,22.1,65617,66.6199308106131,25.6625569593246,43714,16839,3.51
"570",1001,2011,"Danvers",0,"Town","Essex","Representative town meeting","26493.0",1775,"2015-07-01",25009,"Massachusetts",6527,5591,13.3,3.2,3.2,7.66,16.9,23.4,NA,NA,NA,19.2,NA,NA,4372,25.5,8.8,158426,2524,86.3708,9,11.8,30.2,8176,371.3,2015,NA,NA,NA,0,2011,2010,"Essex, MA","essex","MA",607846,377044,34841,411885,68776,93006,776043,374383,401660,321296,347115,25233,25393,73522,75821,15.4,366357,150480,210302,57.4,41.07,385370,57.6874172872824,35.3727586475335,222310,136316,2.51
"571",1002,2012,"Danvers",0,"Town","Essex","Representative town meeting","26493.0",1775,"2015-07-01",25009,"Massachusetts",6421,5353.96,13.4,3.1,3.2,7.8,16.4,23.6,NA,22.3,NA,19.3,2256,306.3,4306,25.8,4.8,78396,6778,86.85452936,8.9,14.5,31.110802346,7925,357.03248117,2015,NA,NA,NA,0,2012,2011,"Essex, MA","essex","MA",607846,377044,34841,411885,68776,93006,776043,374383,401660,321296,347115,25233,25393,73522,75821,15.4,366357,150480,210302,57.4,41.07,385370,57.6874172872824,35.3727586475335,222310,136316,2.51
"572",1003,2013,"Danvers",0,"Town","Essex","Representative town meeting","26493.0",1775,"2015-07-01",25009,"Massachusetts",6262,5062.28,13.3,3.1,3.1,7.7,15,23.6,NA,22.3,NA,19.3,2312,311.1,4299,24.172870606,5.5,79986,7037,88.887309933,7.8,16.9,31.600784286,2623,353.12398062,2015,NA,NA,NA,0,2013,2012,"Essex, MA","essex","MA",607846,377044,34841,411885,68776,93006,776043,374383,401660,321296,347115,25233,25393,73522,75821,15.4,366357,150480,210302,57.4,41.07,385370,57.6874172872824,35.3727586475335,222310,136316,2.51
"573",1004,2014,"Danvers",0,"Town","Essex","Representative town meeting","26493.0",1775,"2015-07-01",25009,"Massachusetts",6262,5062.28,13,3,3.2,7.6,14.1,23.5,8.6893315931,21.6,91.987851859,19.4,2469,329.7,4156,23.260369502,5.4333729687,84440,7605,89.21761999,7.1352123652,17.1,31.958980369,2684.3333333,359.8075367,2015,NA,NA,NA,0,2014,2013,"Essex, MA","essex","MA",607846,377044,34841,411885,68776,93006,776043,374383,401660,321296,347115,25233,25393,73522,75821,15.4,366357,150480,210302,57.4,41.07,385370,57.6874172872824,35.3727586475335,222310,136316,3.51
"574",1005,2015,"Danvers",1,"Town","Essex","Representative town meeting","26493.0",1775,"2015-07-01",25009,"Massachusetts",6450,5035.77,13,3,3.2,7.6378112138,14.1,24.2,8.5,20.3,96.711470897,19.4,2709,358.5,4009,22.401779178,4.8491653685,86259,7888,89.148073022,7.4639212686,16.9,33.364384595,2772,370.18571607,2015,NA,NA,NA,0,2015,2014,"Essex, MA","essex","MA",607846,377044,34841,411885,68776,93006,776043,374383,401660,321296,347115,25233,25393,73522,75821,15.4,366357,150480,210302,57.4,41.07,385370,57.6874172872824,35.3727586475335,222310,136316,3.51
"575",1006,2016,"Danvers",2,"Town","Essex","Representative town meeting","26493.0",1775,"2015-07-01",25009,"Massachusetts",6582,5076.9,16.1,3.7,3.8,7.5831402481,14.8,24.3,8.5,20.6,96.724792406,20.4,2883,381.54199609,3758,21.030011696,4.7736040545,88608,8376,90.604106972,5.9682391661,15.5,33.949005748,2772,370.18571607,2015,NA,NA,NA,0,2016,2015,"Essex, MA","essex","MA",607846,377044,34841,411885,68776,93006,776043,374383,401660,321296,347115,25233,25393,73522,75821,15.4,366357,150480,210302,57.4,41.07,385370,57.6874172872824,35.3727586475335,222310,136316,3.51
"576",1007,2017,"Danvers",2,"Town","Essex","Representative town meeting","26493.0",1775,"2015-07-01",25009,"Massachusetts",6885,5232.2,13.519249126,3.1882789865,3.9939707657,7.5189781901,14.623649328,25.5,8.6,20.5,96.724792406,19.052302415,2622,343.8,3438,19.291521943,3.9892544489,90769,8693,90.797193144,5.1584152071,16.6,34.150092026,2904,382.17465803,2015,NA,NA,NA,0,2017,2016,"Essex, MA","essex","MA",607846,377044,34841,411885,68776,93006,776043,374383,401660,321296,347115,25233,25393,73522,75821,15.4,366357,150480,210302,57.4,41.07,385370,57.6874172872824,35.3727586475335,222310,136316,3.51
"578",1015,2011,"Dartmouth",0,"Town","Bristol","Representative town meeting","34032.0",1664,NA,25005,"Massachusetts",5405,6481.3,15.5,3.8,4,8.08,22.1,27.5,NA,NA,NA,19.5,NA,NA,3673,29,8.8,122807,2577,88.5914,11.1,15.3,32.8,9997,612.7,NA,NA,NA,NA,0,2011,2010,"Bristol, MA","bristol","MA",446780,265468,29487,294955,55957,73844,556772,269973,286799,242332,258664,13746,13501,20282,19950,26.8,241509,93752,142962,59.2,38.82,252140,51.3762195605616,41.8192274133418,129540,105443,2.51
"579",1016,2012,"Dartmouth",0,"Town","Bristol","Representative town meeting","34032.0",1664,NA,25005,"Massachusetts",5443,6471.64,15.3,3.7,3.9,8.1,21.5,29,NA,28.8,NA,19.7,1264,231.6,3617,29.2,5.6,61242,6916,88.577212261,11.2,16.6,34.561816666,9988,608.6187681,NA,NA,NA,NA,0,2012,2011,"Bristol, MA","bristol","MA",446780,265468,29487,294955,55957,73844,556772,269973,286799,242332,258664,13746,13501,20282,19950,26.8,241509,93752,142962,59.2,38.82,252140,51.3762195605616,41.8192274133418,129540,105443,2.51
"580",1017,2013,"Dartmouth",0,"Town","Bristol","Representative town meeting","34032.0",1664,NA,25005,"Massachusetts",5471,6180.27,15.4,3.7,3.8,8.3,20.8,29,NA,28.8,NA,19.8,1284,234.2,3510,26.305928202,5.5,62320,7359,89.917108303,10,16.3,33.774259825,3316,603.3531884,NA,NA,NA,NA,0,2013,2012,"Bristol, MA","bristol","MA",446780,265468,29487,294955,55957,73844,556772,269973,286799,242332,258664,13746,13501,20282,19950,26.8,241509,93752,142962,59.2,38.82,252140,51.3762195605616,41.8192274133418,129540,105443,2.51
"581",1018,2014,"Dartmouth",0,"Town","Bristol","Representative town meeting","34032.0",1664,NA,25005,"Massachusetts",5471,6180.27,15.2,3.7,3.8,8.2,20.3,29.1,8.2896359783,28.3,80.901903207,20.4,1415,257.8,3348,25.12419517,5.1917058244,63385,7815,90.6078055,9.3345083513,17.6,34.747110066,3247.6666667,589.13982441,NA,NA,NA,NA,0,2014,2013,"Bristol, MA","bristol","MA",446780,265468,29487,294955,55957,73844,556772,269973,286799,242332,258664,13746,13501,20282,19950,26.8,241509,93752,142962,59.2,38.82,252140,51.3762195605616,41.8192274133418,129540,105443,3.51
"582",1019,2015,"Dartmouth",0,"Town","Bristol","Representative town meeting","34032.0",1664,NA,25005,"Massachusetts",5630,6029.99,15.2,3.7,3.8,8.1907663464,20.3,28.6,8,26.4,95.487383386,20.4,1628,295.4,3213,24.234058922,5.0705845309,65614,8175,90.311926606,9.7096201195,19.2,34.224549489,3063.3333333,555.71748025,NA,NA,NA,NA,0,2015,2014,"Bristol, MA","bristol","MA",446780,265468,29487,294955,55957,73844,556772,269973,286799,242332,258664,13746,13501,20282,19950,26.8,241509,93752,142962,59.2,38.82,252140,51.3762195605616,41.8192274133418,129540,105443,3.51
"583",1020,2016,"Dartmouth",0,"Town","Bristol","Representative town meeting","34032.0",1664,NA,25005,"Massachusetts",5935,6197.2,15.3,4,4.6,8.0999424516,18.6,28.2,7.8,26.6,95.07154126,20.3,1519,275.63955999,3013,22.912896014,4.7885336389,66664,8588,91.336748952,7.3397988357,17.4,34.524557323,3063.3333333,555.71748025,NA,NA,NA,NA,0,2016,2015,"Bristol, MA","bristol","MA",446780,265468,29487,294955,55957,73844,556772,269973,286799,242332,258664,13746,13501,20282,19950,26.8,241509,93752,142962,59.2,38.82,252140,51.3762195605616,41.8192274133418,129540,105443,3.51
"584",1021,2017,"Dartmouth",0,"Town","Bristol","Representative town meeting","34032.0",1664,NA,25005,"Massachusetts",6139,6409.8,15.755457609,4.2965625531,4.5390659675,8.1037475249,17.31210397,28.3,8,25.1,95.07154126,17.664877204,1352,244.6,2732,20.984231103,4.3037425468,67712,8844,90.682948892,6.2986440419,17.3,34.45954626,2872,518.29928535,NA,NA,NA,NA,0,2017,2016,"Bristol, MA","bristol","MA",446780,265468,29487,294955,55957,73844,556772,269973,286799,242332,258664,13746,13501,20282,19950,26.8,241509,93752,142962,59.2,38.82,252140,51.3762195605616,41.8192274133418,129540,105443,3.51
"586",1029,2011,"Dedham",0,"Town","Norfolk","Representative town meeting","24729.0",1636,"2014-01-01",25021,"Massachusetts",5509,4814.5,9.2,2.9,2.8,7.06,13.6,19.4,NA,NA,NA,19.1,NA,NA,1135,8,8.5,141374,2055,84.4769,7.6,6,18.3,3689,187.4,2014,NA,NA,NA,0,2011,2010,"Norfolk, MA","norfolk","MA",550862,351762,28861,380623,86469,117756,696023,333641,362382,268115,289898,23756,25660,14126,14890,8.7,356523,148393,202714,56.86,41.62,367695,60.3269013720611,32.56041012252,221819,119723,2.51
"587",1030,2012,"Dedham",0,"Town","Norfolk","Representative town meeting","24729.0",1636,"2014-01-01",25021,"Massachusetts",5404,4670.49,9,2.9,2.7,7.2,12.9,20.2,NA,19.9,NA,19.1,991,150.2,1119,8,3.3,71914,5493,86.710358638,7.6,6.8,18.510114708,3855,198.65952489,2014,NA,NA,NA,0,2012,2011,"Norfolk, MA","norfolk","MA",550862,351762,28861,380623,86469,117756,696023,333641,362382,268115,289898,23756,25660,14126,14890,8.7,356523,148393,202714,56.86,41.62,367695,60.3269013720611,32.56041012252,221819,119723,2.51
"588",1031,2013,"Dedham",0,"Town","Norfolk","Representative town meeting","24729.0",1636,"2014-01-01",25021,"Massachusetts",5205,4535.71,9,2.9,2.8,7.2,12.6,20.2,NA,19.9,NA,19.2,1059,157.9,1051,7.128710185,3.6,73125,5684,88.142153413,6.2,6.7,18.512395597,1373,211.44871624,2014,NA,NA,NA,0,2013,2012,"Norfolk, MA","norfolk","MA",550862,351762,28861,380623,86469,117756,696023,333641,362382,268115,289898,23756,25660,14126,14890,8.7,356523,148393,202714,56.86,41.62,367695,60.3269013720611,32.56041012252,221819,119723,2.51
"589",1032,2014,"Dedham",1,"Town","Norfolk","Representative town meeting","24729.0",1636,"2014-01-01",25021,"Massachusetts",5205,4535.71,8.9,2.8,2.7,7.3,11.8,19.8,9.1574897929,20.1,91.132891108,19.4,1347,199.4,998,6.7164229327,3.1408700473,76531,6046,89.33178961,5.60043183,8,18.520170417,1403.3333333,213.27383956,2014,NA,NA,NA,0,2014,2013,"Norfolk, MA","norfolk","MA",550862,351762,28861,380623,86469,117756,696023,333641,362382,268115,289898,23756,25660,14126,14890,8.7,356523,148393,202714,56.86,41.62,367695,60.3269013720611,32.56041012252,221819,119723,3.51
"590",1033,2015,"Dedham",2,"Town","Norfolk","Representative town meeting","24729.0",1636,"2014-01-01",25021,"Massachusetts",5294,4367.63,8.9,2.8,2.7,7.3214631314,11.8,20.2,8.9,18.8,95.675635388,19.4,1484,217.6,917,6.1186769779,2.9359222889,79617,6188,90.303813833,6.0056451921,7.5,18.506847494,1356.3333333,203.20868968,2014,NA,NA,NA,0,2015,2014,"Norfolk, MA","norfolk","MA",550862,351762,28861,380623,86469,117756,696023,333641,362382,268115,289898,23756,25660,14126,14890,8.7,356523,148393,202714,56.86,41.62,367695,60.3269013720611,32.56041012252,221819,119723,3.51
"591",1034,2016,"Dedham",2,"Town","Norfolk","Representative town meeting","24729.0",1636,"2014-01-01",25021,"Massachusetts",5404,4413.1,10.4,2.9,3.2,7.2373692954,12.3,19.7,8.7,19.3,95.744652307,19.6,1431,209.87174504,867,5.7400872599,3.0107932103,81498,6582,90.398055302,4.9942696296,7,18.363838676,1356.3333333,203.20868968,2014,NA,NA,NA,0,2016,2015,"Norfolk, MA","norfolk","MA",550862,351762,28861,380623,86469,117756,696023,333641,362382,268115,289898,23756,25660,14126,14890,8.7,356523,148393,202714,56.86,41.62,367695,60.3269013720611,32.56041012252,221819,119723,3.51
"592",1035,2017,"Dedham",2,"Town","Norfolk","Representative town meeting","24729.0",1636,"2014-01-01",25021,"Massachusetts",5536,4512.4,11.184260205,3.0607782385,3.3826188357,7.2425536941,11.767660861,20.5,8.8,17.7,95.744652307,19.392190869,1996,290.2,778,5.1111578283,2.7209275435,82866,6828,91.15407147,4.3471768599,6.4,18.381335134,1303.6666667,193.10128263,2014,NA,NA,NA,0,2017,2016,"Norfolk, MA","norfolk","MA",550862,351762,28861,380623,86469,117756,696023,333641,362382,268115,289898,23756,25660,14126,14890,8.7,356523,148393,202714,56.86,41.62,367695,60.3269013720611,32.56041012252,221819,119723,3.51
"594",1043,2011,"Deerfield",0,"Town","Franklin","Open town meeting","5125.0",1677,"2017-01-01",25011,"Massachusetts",708,5297.1,11.7,3.8,3.5,6.83,17.9,23.5,NA,NA,NA,17.9,NA,NA,351,21.3,9.3,14759,241,87.9668,7.9,15.8,33,774,359.7,2017,NA,NA,NA,0,2011,2010,"Franklin, MA","franklin","MA",59408,37423,3055,40478,54072,68263,70601,34474,36127,32471,34254,624,382,1452,1276,12,37758,9344,27072,71.7,24.75,38821,63.0535019705829,26.6968908580407,24478,10364,2.51
"595",1044,2012,"Deerfield",0,"Town","Franklin","Open town meeting","5125.0",1677,"2017-01-01",25011,"Massachusetts",715,5245.39,11.9,3.9,3.5,7,18.5,24.6,NA,19.4,NA,19.3,98,136.6,342,21.9,4.4,7679,720,87.916666667,8,16.2,32.153351056,749,364.48930134,2017,NA,NA,NA,0,2012,2011,"Franklin, MA","franklin","MA",59408,37423,3055,40478,54072,68263,70601,34474,36127,32471,34254,624,382,1452,1276,12,37758,9344,27072,71.7,24.75,38821,63.0535019705829,26.6968908580407,24478,10364,2.51
"596",1045,2013,"Deerfield",0,"Town","Franklin","Open town meeting","5125.0",1677,"2017-01-01",25011,"Massachusetts",694,5298.65,11.1,3.6,3.3,7.1,19,24.6,NA,19.4,NA,18.7,131,183.5,325,20.256793817,4.7,7736,731,89.876880985,6.7,16.6,32.858472332,246,357.66243433,2017,NA,NA,NA,0,2013,2012,"Franklin, MA","franklin","MA",59408,37423,3055,40478,54072,68263,70601,34474,36127,32471,34254,624,382,1452,1276,12,37758,9344,27072,71.7,24.75,38821,63.0535019705829,26.6968908580407,24478,10364,2.51
