"","TownName","ratio","year"
"512","chesterfield",0,2011
"513","hanson",0,2011
"514","harvard",0,2011
"515","harwich",0,2011
"516","hatfield",0,2011
"517","carver",0,2011
"518","charlemont",0,2011
"519","hampden",0,2011
"520","hancock",0,2011
"521","haverhill",0,2011
"522","heath",0,2011
"523","holbrook",0,2011
"524","hudson",0,2011
"525","holyoke",0,2011
"526","hopedale",0,2011
"527","hopkinton",0,2011
"528","milton",0,2011
"529","medway",0,2011
"530","lenox",0,2011
"531","leominster",0,2011
"532","lexington",0,2011
"533","leyden",0,2011
"534","lincoln",0,2011
"535","methuen",0,2011
"536","hinsdale",0,2011
"537","holland",0,2011
"538","holliston",0,2011
"539","hingham",0,2011
"540","natick",0,2011
"541","manchester",0,2011
"542","freetown",0,2011
"543","gardner",0,2011
"544","georgetown",0,2011
"545","gill",0,2011
"546","granby",0,2011
"547","greenfield",0,2011
"548","groton",0,2011
"549","groveland",0,2011
"550","monroe",0,2011
"551","monson",0,2011
"552","montgomery",0,2011
"553","nahant",0,2011
"554","lee",0,2011
"555","hanover",0,2011
"556","mattapoisett",0,2011
"557","medfield",0,2011
"558","medford",0,2011
"559","reading",0,2011
"560","new bedford",0,2011
"561","needham",0,2011
"562","new marlborough",0,2011
"563","lowell",0,2011
"564","halifax",0,2011
"565","hamilton",0,2011
"566","marblehead",0,2011
"567","fairhaven",0,2011
"568","fall river",0,2011
"569","aquinnah",0,2011
"570","goshen",0,2011
"571","hull",0,2011
"572","lakeville",0,2011
"573","lancaster",0,2011
"574","lawrence",0,2011
"575","ludlow",0,2011
"576","lynn",0,2011
"577","lynnfield",0,2011
"578","malden",0,2011
"579","tewksbury",0,2011
"580","shirley",0,2011
"581","shutesbury",0,2011
"582","somerset",0,2011
"583","somerville",0,2011
"584","provincetown",0,2011
"585","randolph",0,2011
"586","raynham",0,2011
"587","norwood",0,2011
"588","oak bluffs",0,2011
"589","west springfield",0,2011
"590","northampton",0,2011
"591","pembroke",0,2011
"592","pepperell",0,2011
"593","northfield",0,2011
"594","norwell",0,2011
"595","new salem",0,2011
"596","north adams",0,2011
"597","north attleboro",0,2011
"598","north brookfield",0,2011
"599","northbridge",0,2011
"600","oakham",0,2011
"601","oxford",0,2011
"602","palmer",0,2011
