"","Year","Name","Event","Type","County","Formofgovernment","Population","FormYear","T21Date","FIPS","State","No_PrematureDeaths","YearsofPotentialLifeLostRate","Percent_FairOrPoor","PhysicallyUnhealthyDays","MentallyUnhealthyDays","PrecentLBW","PercentSmokers","PercentObese","FoodEnvironmentIndex","PercentPhysicallyInactive","PercentWithAccessToExercise","PercentExcessiveDrinking","NumberChlamydiaCases","ChlamydiaRate","TeenBirths","TeenBirthRate","PercentUninsured","NumberMedicareEnrollees","PercentDiabetics","PercentReceivingHbA1c","PercentUnemployed","PercentChildreninPoverty","PercentSingle-ParentHouseholds","NumberViolentCrimes","ViolentCrimeRate","T21year","MAYOR","LENGTHOFTERM","NEXTELECTION","mayor_ind","NearbyT21Ratio"
"27",2012,"Agawam","0","City","Hampden","Mayor-council",28438,1855,NA,"25013","Massachusetts",4881,6973.49,15.3,3.8,3.8,8.7,19.3,28.5,NA,26.4,NA,18.7,2385,517.5,5288,45.9,5.2,46476,4991,85.694249649,10.2,25.5,43.377030649,9590,701.50798615,NA,"Richard Cohen","2 years","Nov. 7, 2017",1,0
"28",2013,"Agawam","0","City","Hampden","Mayor-council",28438,1855,NA,"25013","Massachusetts",4886,6847.84,15.1,3.7,3.8,8.7,18.6,28.5,NA,26.4,NA,19.3,2809,606.1,5200,41.644976575,6.3,46827,5148,87.043512044,9.2,25.4,44.048002503,3184,697.37338752,NA,"Richard Cohen","2 years","Nov. 7, 2017",1,0
"29",2014,"Agawam","0","City","Hampden","Mayor-council",28438,1855,NA,"25013","Massachusetts",4886,6847.84,15,3.8,3.9,8.6,18.8,29.2,8.0488191963,26.8,88.188310427,19.4,2833,610.8,5085,40.707355343,5.667968043,46760,5227,89.17160895,8.5248841592,30.5,45.425212328,3073.6666667,670.45873454,NA,"Richard Cohen","2 years","Nov. 7, 2017",1,0
"30",2015,"Agawam","0","City","Hampden","Mayor-council",28438,1855,NA,"25013","Massachusetts",4893,6638.1,15,3.8,3.9,8.4917874641,18.8,28.9,7.9,26.7,94.161902091,19.4,2858,613.4,4875,39.143421496,4.876221,47241,5295,88.498583569,8.9212544119,29.3,47.336153803,2941,640.7816912,NA,"Richard Cohen","2 years","Nov. 7, 2017",1,0.1
"31",2016,"Agawam","0","City","Hampden","Mayor-council",28438,1855,NA,"25013","Massachusetts",4897,6600.5,18.9,4.4,4.5,8.3991662592,18.3,28.5,7.9,26.1,93.56016311,18.2,2686,576.49010673,4537,36.719597274,5.0463916992,47586,5383,88.853798997,7.8189522307,26.2,47.351683919,2941,640.7816912,NA,"Richard Cohen","2 years","Nov. 7, 2017",1,0.3
"32",2017,"Agawam","0","City","Hampden","Mayor-council",28438,1855,NA,"25013","Massachusetts",4970,6486.4,18.605346606,4.4980706433,4.6422572462,8.2472879362,18.19831852,27.5,8,24.7,93.56016311,19.22387805,2375,508.2,4081,33.393612582,4.2016261345,47683,5305,90.518378888,6.7645011706,27.4,47.893761581,2790.6666667,604.90542753,NA,"Richard Cohen","2 years","Nov. 7, 2017",1,0.3
"33",2011,"Alford","0","Town","Berkshire","Open town meeting",494,1773,NA,"25003","Massachusetts",1458,5881.7,13.4,4,3.6,7.86,19.7,23.2,NA,NA,NA,18.9,NA,NA,837,25.2,8.4,44684,736,92.1196,8.1,15.2,35.8,1590,408.1,NA,NA,NA,NA,0,0
"34",2012,"Alford","0","Town","Berkshire","Open town meeting",494,1773,NA,"25003","Massachusetts",1484,6122.18,13.2,3.9,3.5,8,19.4,24,NA,22.5,NA,19.5,311,240.3,849,26.6,4.7,22591,2016,90.972222222,8.2,18.7,34.903381643,1556,415.97938282,NA,NA,NA,NA,0,0
"35",2013,"Alford","0","Town","Berkshire","Open town meeting",494,1773,NA,"25003","Massachusetts",1406,5915.12,12.9,3.8,3.4,7.9,17.5,24,NA,22.5,NA,20.8,370,282,817,24.426704936,5.1,22812,2034,91.445427729,7.3,20.2,34.510376391,536,425.87994897,NA,NA,NA,NA,0,0
"36",2014,"Alford","0","Town","Berkshire","Open town meeting",494,1773,NA,"25003","Massachusetts",1406,5915.12,12.1,3.7,3.6,8.1,17,22,8.5769018924,20.7,74.91826641,21.3,359,275.2,781,23.546792089,4.7540110118,22821,2046,91.54447703,6.7247420809,21.1,35.096581266,543,429.3927085,NA,NA,NA,NA,0,0
