"","year","TownName","Event","Sub"
"395",2018,"Brimfield",0,1
"396",2018,"Brockton",0,1
"397",2018,"Brookline",0,1
"398",2018,"Buckland",0,1
"399",2018,"Cambridge",0,1
"400",2018,"Canton",0,1
"401",2018,"Carver",0,1
"402",2018,"Charlemont",0,1
"403",2018,"Chelmsford",0,1
"404",2018,"Chelsea",0,1
"405",2018,"Cohasset",0,1
"406",2018,"Concord",0,1
"407",2018,"Danvers",0,1
"408",2018,"Dedham",0,1
"409",2018,"Deerfield",0,1
"410",2018,"Dover",0,1
"411",2018,"Duxbury",0,1
"412",2018,"Eastham",0,1
"413",2018,"Easton",0,1
"414",2018,"Egremont",0,1
"415",2018,"Essex",0,1
"416",2018,"Falmouth",0,1
"417",2018,"Foxborough",0,1
"418",2018,"Framingham",0,1
"419",2018,"Franklin",0,1
"420",2018,"Gill",0,1
"421",2018,"Gloucester",0,1
"422",2018,"Grafton",0,1
"423",2018,"Great Barrington",0,1
"424",2018,"Greenfield",0,1
"425",2018,"Hadley",0,1
"426",2018,"Halifax",0,1
"427",2018,"Hamilton",0,1
"428",2018,"Hanover",0,1
"429",2018,"Hatfield",0,1
"430",2018,"Holbrook",0,1
"431",2018,"Holyoke",0,1
"432",2018,"Hopedale",0,1
"433",2018,"Hudson",0,1
"434",2018,"Hull",0,1
"435",2018,"Kingston",0,1
"436",2018,"Lanesborough",1,1
"437",2018,"Lawrence",0,1
"438",2018,"Lee",0,1
"439",2018,"Lenox",0,1
"440",2018,"Leverett",0,1
"441",2018,"Lexington",0,1
"442",2018,"Lincoln",0,1
"443",2018,"Lowell",0,1
"444",2018,"Malden",0,1
"445",2018,"Mansfield",0,1
"446",2018,"Marblehead",0,1
"447",2018,"Marion",0,1
"448",2018,"Marlborough",0,1
"449",2018,"Marshfield",0,1
"450",2018,"Mashpee",0,1
"451",2018,"Maynard",0,1
"452",2018,"Medfield",0,1
"453",2018,"Medford",0,1
"454",2018,"Medway",0,1
"455",2018,"Melrose",0,1
"456",2018,"Mendon",0,1
"457",2018,"Methuen",0,1
"458",2018,"Middleton",0,1
"459",2018,"Milford",0,1
"460",2018,"Millis",0,1
"461",2018,"Milton",0,1
"462",2018,"Montague",0,1
"463",2018,"Natick",0,1
"464",2018,"Needham",0,1
"465",2018,"Newton",0,1
"466",2018,"Norfolk",0,1
"467",2018,"North Adams",0,1
"468",2018,"North Andover",0,1
"469",2018,"North Reading",0,1
"470",2018,"Northampton",0,1
"471",2018,"Northborough",0,1
"472",2018,"Norwell",0,1
"473",2018,"Norwood",0,1
"474",2018,"Orleans",0,1
"475",2018,"Peabody",0,1
"476",2018,"Pittsfield",0,1
"477",2018,"Plainville",0,1
"478",2018,"Provincetown",0,1
"479",2018,"Randolph",0,1
"480",2018,"Reading",0,1
"481",2018,"Rockport",0,1
"482",2018,"Salem",0,1
"483",2018,"Saugus",0,1
"484",2018,"Scituate",0,1
"485",2018,"Sharon",0,1
"486",2018,"Shelburne",0,1
"487",2018,"Sherborn",0,1
"488",2018,"Somerville",0,1
"489",2018,"South Hadley",0,1
"490",2018,"Southampton",0,1
"491",2018,"Southborough",0,1
"492",2018,"Southwick",0,1
"493",2018,"Stockbridge",0,1
"494",2018,"Stoneham",0,1
"495",2018,"Stoughton",0,1
"496",2018,"Sunderland",0,1
"497",2018,"Swampscott",0,1
"498",2018,"Tewksbury",0,1
"499",2018,"Topsfield",0,1
"500",2018,"Townsend",0,1
"501",2018,"Tyngsborough",0,1
