"","CityTown","Nearby T21 Ratio","year"
"383","Eastham",0,2006
"384","Easton",0.005,2006
"385","Egremont",0,2006
"386","Essex",0.007,2006
"387","Falmouth",0,2006
"388","Foxborough",0.005,2006
"389","Framingham",0.004,2006
"390","Franklin",0.005,2006
"391","Gill",0,2006
"392","Gloucester",0.007,2006
"393","Grafton",0.004,2006
"394","Great Barrington",0,2006
"395","Greenfield",0,2006
"396","Hadley",0,2006
"397","Hamilton",0.006,2006
"398","Hanover",0.005,2006
"399","Halifax",0.006,2006
"400","Hatfield",0,2006
"401","Holbrook",0.005,2006
"402","Holyoke",0,2006
"403","Hopedale",0.004,2006
"404","Hudson",0.004,2006
"405","Hull",0.005,2006
"406","Kingston",0.006,2006
"407","Lanesborough",0,2006
"408","Lawrence",0.006,2006
"409","Lee",0,2006
"410","Lenox",0,2006
"411","Leverett",0,2006
"412","Lexington",0.005,2006
"413","Lincoln",0.005,2006
"414","Lowell",0.005,2006
"415","Malden",0.005,2006
"416","Mansfield",0.005,2006
"417","Marblehead",0.006,2006
"418","Marion",0.009,2006
"419","Marlborough",0.004,2006
"420","Marshfield",0.006,2006
"421","Mashpee",0,2006
"422","Maynard",0.004,2006
"423","Medfield",0.004,2006
"424","Medford",0.005,2006
"425","Medway",0.004,2006
"426","Melrose",0.005,2006
"427","Mendon",0.005,2006
"428","Methuen",0.006,2006
"429","Middleton",0.006,2006
"430","Millis",0.004,2006
"431","Milford",0.004,2006
"432","Milton",0.005,2006
"433","Montague",0,2006
"434","Natick",0.004,2006
"435","Needham",0,2006
"436","Newton",0.005,2006
"437","Norfolk",0.005,2006
"438","North Adams",0,2006
"439","North Andover",0.006,2006
"440","North Attleboro",0.005,2006
"441","North Reading",0.005,2006
"442","Northampton",0,2006
"443","Northborough",0.004,2006
"444","Norwell",0.005,2006
"445","Norwood",0.005,2006
"446","Orleans",0,2006
"447","Peabody",0.006,2006
"448","Pittsfield",0,2006
"449","Plainville",0.005,2006
"450","Provincetown",0,2006
"451","Reading",0.005,2006
"452","Randolph",0.005,2006
"453","Rockport",0.008,2006
"454","Salem",0.006,2006
"455","Saugus",0.005,2006
"456","Scituate",0.005,2006
"457","Sharon",0.005,2006
"458","Shelburne",0,2006
"459","Sherborn",0.004,2006
"460","Somerville",0.005,2006
"461","South Hadley",0,2006
"462","Southampton",0,2006
"463","Southborough",0.004,2006
"464","Southwick",0,2006
"465","Stockbridge",0,2006
"466","Stoneham",0.005,2006
"467","Stoughton",0.005,2006
"468","Sunderland",0,2006
"469","Swampscott",0.005,2006
"470","Tewksbury",0.005,2006
"471","Topsfield",0.006,2006
"472","Townsend",0.005,2006
"473","Tyngsborough",0.005,2006
"474","Wakefield",0.005,2006
"475","Walpole",0.005,2006
"476","Waltham",0.005,2006
"477","Wareham",0.008,2006
