"","Name","Type","County","Form of government","Population","FormYear","T21Date","Year","FIPS","State","Smoking rank","Diet and Exercise Rank","Alcohol useRank","Unsafe Sex Rank","Access to Care Rank","Quality of care Rank","Education Rank","Employment Rank","Income Rank","Family and social support Rank","Community Rank","Air Quality Rank","Built Enviornment Rank","Mortality Rank","Morbidity Rank","Health Behaviors Rank","Clinical Care Rank","Social Economic factors Rank","Physical Enviornment Rank","T21year","MAYOR","LENGTH OF TERM","NEXT ELECTION","mayor_ind"
"40","Agawam","City","Hampden","Mayor-council","28438.0",1855,NA,2017,"25013","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,14,14,11,14,13,NA,"Richard Cohen","2 years","Nov. 7, 2017",1
"41","Alford","Town","Berkshire","Open town meeting","494.0",1773,NA,2011,"25003","Massachusetts",9,9,13,10,4,1,9,7,10,11,7,6,13,9,11,11,1,11,13,NA,NA,NA,NA,0
"42","Alford","Town","Berkshire","Open town meeting","494.0",1773,NA,2010,"25003","Massachusetts",10,10,10,10,5,2,8,7,11,11,8,8,13,10,11,11,1,11,12,NA,NA,NA,NA,0
"43","Alford","Town","Berkshire","Open town meeting","494.0",1773,NA,2012,"25003","Massachusetts",11,11,13,10,5,2,10,8,12,11,7,6,11,11,11,11,2,11,7,NA,NA,NA,NA,0
"44","Alford","Town","Berkshire","Open town meeting","494.0",1773,NA,2013,"25003","Massachusetts",9,11,13,11,6,3,10,7,12,11,7,6,6,11,11,11,4,11,6,NA,NA,NA,NA,0
"45","Alford","Town","Berkshire","Open town meeting","494.0",1773,NA,2014,"25003","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,11,8,2,11,12,NA,NA,NA,NA,0
"46","Alford","Town","Berkshire","Open town meeting","494.0",1773,NA,2015,"25003","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,11,8,3,10,13,NA,NA,NA,NA,0
"47","Alford","Town","Berkshire","Open town meeting","494.0",1773,NA,2016,"25003","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,10,7,3,11,14,NA,NA,NA,NA,0
"48","Alford","Town","Berkshire","Open town meeting","494.0",1773,NA,2017,"25003","Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,10,8,5,11,4,NA,NA,NA,NA,0
"49","Amesbury","City","Essex","Mayor-council","16283.0",1668,NA,2011,"25009","Massachusetts",6,10,4,11,7,9,7,11,9,8,6,8,7,7,9,7,11,9,7,NA,"Ken Gray","2 years","Nov. 7, 2017",1
