"","Nearby T21 Ratio"
"West Brookfield",0.344
"West Newbury",0.585
"West Springfield",0.209
"West Stockbridge",0.314
"West Tisbury",0.264
"Westborough",0.432
"Westhampton",0.218
"Westminster",0.429
"Westport",0.469
"Weymouth",0.51
"Wilbraham",0.227
"Williamsburg",0.213
"Winchendon",0.349
"Windsor",0.255
"Winthrop",0.51
"Woburn",0.485
"Worthington",0.235
"Wrentham",0.463
